Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.2,0.0,5.076,0.0,0.0
0.208,0.0,5.076,0.012,0.061
0.216,0.0,5.076,0.012,0.061
0.224,0.0,5.076,0.011,0.056
0.266,0.0,5.072,0.01,0.051
0.273,0.0,5.076,0.01,0.051
0.281,0.0,5.076,0.011,0.056
0.289,0.0,5.076,0.01,0.051
0.297,0.0,5.076,0.011,0.056
0.304,0.0,5.076,0.011,0.056
0.312,0.0,5.076,0.011,0.056
0.32,0.0,5.072,0.01,0.051
0.328,0.0,5.076,0.01,0.051
0.336,0.0,5.076,0.011,0.056
0.343,0.0,5.076,0.0,0.0
0.351,0.0,5.072,0.011,0.056
0.359,0.0,5.072,0.011,0.056
0.367,0.0,5.076,0.01,0.051
0.375,0.0,5.076,0.01,0.051
0.383,0.0,5.076,0.011,0.056
0.391,0.0,5.076,0.01,0.051
0.399,0.0,5.076,0.012,0.061
0.407,0.0,5.072,0.012,0.061
0.415,0.0,5.072,0.01,0.051
0.423,0.0,5.076,0.011,0.056
0.431,0.0,5.076,0.011,0.056
0.439,0.0,5.076,0.01,0.051
0.447,0.0,5.076,0.01,0.051
0.455,0.0,5.072,0.0,0.0
0.463,0.0,5.076,0.01,0.051
0.472,0.0,5.076,0.012,0.061
0.48,0.0,5.076,0.013,0.066
0.488,0.0,5.076,0.01,0.051
0.496,0.0,5.072,0.01,0.051
0.504,0.0,5.076,0.011,0.056
0.512,0.0,5.072,0.01,0.051
0.52,0.0,5.076,0.011,0.056
0.529,0.0,5.076,0.01,0.051
0.537,0.0,5.072,0.0,0.0
0.545,0.0,5.076,0.011,0.056
0.553,0.0,5.076,0.012,0.061
0.56,0.0,5.072,0.0,0.0
0.569,0.0,5.076,0.011,0.056
0.577,0.0,5.076,0.011,0.056
0.586,0.0,5.072,0.012,0.061
0.594,0.0,5.072,0.01,0.051
0.603,0.0,5.076,0.011,0.056
0.611,0.0,5.076,0.01,0.051
0.619,0.0,5.076,0.011,0.056
0.628,0.0,5.072,0.01,0.051
0.635,0.0,5.076,0.01,0.051
0.643,0.0,5.076,0.0,0.0
0.651,0.0,5.076,0.011,0.056
0.659,0.0,5.076,0.012,0.061
0.667,0.0,5.072,0.011,0.056
0.675,0.0,5.072,0.0,0.0
0.682,0.0,5.076,0.01,0.051
0.691,0.0,5.076,0.01,0.051
0.699,0.0,5.072,0.011,0.056
0.707,0.0,5.076,0.012,0.061
0.715,0.0,5.076,0.0,0.0
0.723,0.0,5.076,0.01,0.051
0.731,0.0,5.072,0.011,0.056
0.739,0.0,5.076,0.01,0.051
0.747,0.0,5.072,0.01,0.051
0.754,0.0,5.076,0.011,0.056
0.762,0.0,5.076,0.01,0.051
0.77,0.0,5.072,0.011,0.056
0.778,0.0,5.076,0.0,0.0
0.786,0.0,5.076,0.011,0.056
0.794,0.0,5.076,0.011,0.056
0.802,0.0,5.072,0.011,0.056
0.81,0.0,5.072,0.01,0.051
0.818,0.0,5.076,0.013,0.066
0.826,0.0,5.076,0.0,0.0
0.834,0.0,5.076,0.0,0.0
0.842,0.0,5.072,0.0,0.0
0.851,0.0,5.076,0.014,0.071
0.859,0.0,5.076,0.012,0.061
0.867,0.0,5.072,0.013,0.066
0.875,0.0,5.076,0.011,0.056
0.886,0.0,5.076,0.011,0.056
0.897,0.0,5.076,0.01,0.051
0.908,0.0,5.072,0.01,0.051
0.92,0.0,5.076,0.01,0.051
0.931,0.0,5.076,0.0,0.0
0.943,0.0,5.076,0.011,0.056
0.955,0.0,5.076,0.0,0.0
0.967,0.0,5.072,0.01,0.051
0.979,0.0,5.076,0.01,0.051
0.991,0.0,5.068,0.103,0.522
1.003,0.0,5.072,0.104,0.527
1.015,19.0,5.068,0.102,0.517
1.026,16.0,5.072,0.101,0.512
1.038,14.0,5.072,0.104,0.527
1.049,11.0,5.072,0.104,0.527
1.061,8.0,5.072,0.102,0.517
1.073,5.0,5.072,0.101,0.512
1.085,2.0,5.072,0.104,0.527
1.096,0.0,5.068,0.102,0.517
1.106,0.0,5.072,0.102,0.517
1.117,0.0,5.076,0.101,0.513
1.127,0.0,5.068,0.1,0.507
1.138,0.0,5.072,0.055,0.279
1.148,0.0,5.072,0.079,0.401
1.159,0.0,5.072,0.101,0.512
1.169,0.0,5.072,0.102,0.517
1.18,0.0,5.072,0.102,0.517
1.19,0.0,5.072,0.103,0.522
1.201,0.0,5.072,0.102,0.517
1.212,0.0,5.072,0.102,0.517
1.223,0.0,5.072,0.101,0.512
1.234,0.0,5.072,0.101,0.512
1.244,0.0,5.072,0.102,0.517
1.254,0.0,5.072,0.102,0.517
1.265,0.0,5.072,0.103,0.522
1.276,0.0,5.072,0.102,0.517
1.287,0.0,5.072,0.103,0.522
1.298,0.0,5.068,0.102,0.517
1.308,0.0,5.072,0.101,0.512
1.319,0.0,5.068,0.102,0.517
1.33,0.0,5.072,0.102,0.517
1.341,0.0,5.072,0.1,0.507
1.351,0.0,5.072,0.103,0.522
1.362,0.0,5.072,0.103,0.522
1.373,0.0,5.072,0.102,0.517
1.384,0.0,5.072,0.102,0.517
1.396,0.0,5.072,0.101,0.512
1.408,0.0,5.072,0.101,0.512
1.42,0.0,5.072,0.101,0.512
1.432,0.0,5.072,0.104,0.527
1.443,0.0,5.072,0.101,0.512
1.456,0.0,5.072,0.102,0.517
1.467,0.0,5.072,0.103,0.522
1.48,0.0,5.072,0.102,0.517
1.491,0.0,5.072,0.063,0.32
1.501,0.0,5.072,0.056,0.284
1.512,0.0,5.072,0.082,0.416
1.522,0.0,9.104,0.109,0.992
1.533,2.0,9.096,0.136,1.237
1.601,4.0,9.096,0.164,1.492
1.613,6.0,9.096,0.251,2.283
1.625,9.0,9.096,0.232,2.11
1.636,11.0,9.1,0.188,1.711
1.648,13.0,9.096,0.252,2.292
1.66,15.0,9.096,0.253,2.301
1.672,17.0,9.096,0.252,2.292
1.684,19.0,9.1,0.198,1.802
1.696,21.0,9.1,0.275,2.502
1.708,23.0,9.096,0.302,2.747
1.719,25.0,9.096,0.25,2.274
1.734,27.0,9.096,0.243,2.21
1.749,29.0,9.096,0.233,2.119
1.764,30.0,9.096,0.287,2.611
1.779,32.0,9.092,0.282,2.564
1.791,34.0,9.096,0.301,2.738
1.802,35.0,9.1,0.216,1.966
1.813,37.0,9.092,0.298,2.709
1.825,38.0,9.092,0.299,2.719
1.836,40.0,9.096,0.262,2.383
1.847,41.0,9.096,0.275,2.501
1.858,42.0,9.096,0.301,2.738
1.869,44.0,9.1,0.209,1.902
1.881,45.0,9.096,0.271,2.465
1.892,46.0,9.096,0.254,2.31
1.903,47.0,9.1,0.219,1.993
1.914,48.0,9.096,0.268,2.438
1.925,49.0,9.092,0.262,2.382
1.936,50.0,9.096,0.232,2.11
1.947,51.0,9.096,0.277,2.52
1.958,52.0,9.096,0.267,2.429
1.968,53.0,9.096,0.26,2.365
1.979,54.0,9.092,0.283,2.573
1.99,54.0,9.096,0.296,2.692
2.001,55.0,9.1,0.184,1.674
2.012,56.0,9.096,0.26,2.365
2.023,56.0,9.096,0.293,2.665
2.034,57.0,9.096,0.178,1.619
2.045,57.0,9.096,0.261,2.374
2.055,58.0,9.096,0.27,2.456
2.066,58.0,9.096,0.18,1.637
2.078,59.0,9.096,0.292,2.656
2.089,59.0,9.092,0.287,2.609
2.101,59.0,9.096,0.208,1.892
2.111,59.0,9.096,0.274,2.492
2.122,60.0,9.096,0.252,2.292
2.133,60.0,9.1,0.167,1.52
2.144,60.0,9.096,0.257,2.338
2.155,60.0,9.096,0.264,2.401
2.165,60.0,9.1,0.174,1.583
2.176,60.0,9.096,0.252,2.292
2.188,60.0,9.096,0.3,2.729
2.199,59.0,9.092,0.32,2.909
2.211,59.0,9.092,0.345,3.137
2.223,59.0,9.096,0.37,3.366
2.235,59.0,9.096,0.393,3.575
2.247,58.0,9.092,0.416,3.782
2.258,58.0,9.092,0.438,3.982
2.27,57.0,9.088,0.462,4.199
2.281,57.0,9.088,0.487,4.426
2.292,56.0,9.084,0.51,4.633
2.304,56.0,9.088,0.534,4.853
2.315,55.0,9.088,0.56,5.089
2.327,54.0,9.088,0.604,5.489
2.338,54.0,9.084,0.631,5.732
2.35,53.0,9.084,0.657,5.968
2.361,52.0,9.084,0.681,6.186
2.372,51.0,9.084,0.705,6.404
2.384,50.0,9.084,0.73,6.631
2.395,49.0,9.08,0.754,6.846
2.407,48.0,9.084,0.778,7.067
2.419,47.0,9.08,0.803,7.291
2.43,46.0,9.08,0.828,7.518
2.442,45.0,9.08,0.827,7.509
2.453,43.0,9.076,0.828,7.515
2.465,42.0,9.08,0.802,7.282
2.476,41.0,9.08,0.796,7.228
2.488,39.0,9.084,0.819,7.44
2.499,38.0,9.08,0.754,6.846
2.51,37.0,9.08,0.791,7.182
2.522,35.0,9.08,0.785,7.128
2.533,33.0,9.08,0.772,7.01
2.545,32.0,9.084,0.779,7.076
2.556,30.0,9.08,0.808,7.337
2.568,28.0,9.084,0.728,6.613
2.579,27.0,9.084,0.804,7.304
2.591,25.0,9.084,0.82,7.449
2.602,23.0,9.084,0.776,7.049
2.613,21.0,9.076,0.816,7.406
2.625,19.0,9.08,0.783,7.11
2.636,17.0,9.08,0.778,7.064
2.648,15.0,9.08,0.767,6.964
2.659,13.0,9.08,0.809,7.346
2.671,11.0,9.08,0.782,7.101
2.682,9.0,9.084,0.751,6.822
2.693,6.0,9.08,0.813,7.382
2.703,4.0,9.084,0.792,7.195
2.714,2.0,9.084,0.779,7.076
