Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.116,0.0,0.0
0.026,0.0,0.112,0.0,0.0
0.038,0.0,0.112,0.0,0.0
0.051,0.0,0.112,0.0,0.0
0.064,0.0,0.116,0.0,0.0
0.078,0.0,0.116,0.0,0.0
0.091,0.0,0.116,0.0,0.0
0.109,0.0,0.116,0.0,0.0
0.118,0.0,0.112,0.0,0.0
0.128,0.0,0.116,0.0,0.0
0.138,0.0,0.112,0.0,0.0
0.148,0.0,0.116,0.0,0.0
0.157,0.0,0.112,0.0,0.0
0.167,0.0,0.112,0.0,0.0
0.177,0.0,0.112,0.0,0.0
0.187,0.0,0.116,0.0,0.0
0.197,0.0,0.112,0.0,0.0
0.208,0.0,0.112,0.0,0.0
0.219,0.0,0.112,0.0,0.0
0.229,0.0,0.112,0.0,0.0
0.24,0.0,0.112,0.0,0.0
0.251,0.0,0.112,0.0,0.0
0.261,0.0,0.112,0.0,0.0
0.273,0.0,0.116,0.0,0.0
0.283,0.0,0.116,0.0,0.0
0.294,0.0,0.112,0.0,0.0
0.305,0.0,0.112,0.0,0.0
0.315,0.0,0.116,0.0,0.0
0.326,0.0,0.112,0.0,0.0
0.337,0.0,0.116,0.0,0.0
0.348,0.0,0.116,0.0,0.0
0.358,0.0,0.112,0.0,0.0
0.369,0.0,0.112,0.0,0.0
0.381,0.0,0.116,0.0,0.0
0.391,0.0,0.112,0.0,0.0
0.401,0.0,0.116,0.0,0.0
0.413,0.0,0.112,0.0,0.0
0.423,0.0,0.116,0.0,0.0
0.434,0.0,0.112,0.0,0.0
0.445,0.0,0.116,0.0,0.0
0.456,0.0,0.112,0.0,0.0
0.466,0.0,5.072,0.0,0.0
0.478,0.0,5.076,0.0,0.0
0.535,0.0,5.076,0.0,0.0
0.546,0.0,5.076,0.01,0.051
0.558,0.0,5.076,0.01,0.051
0.568,0.0,5.076,0.011,0.056
0.58,0.0,5.072,0.01,0.051
0.592,0.0,5.076,0.0,0.0
0.602,0.0,5.076,0.0,0.0
0.613,0.0,5.072,0.0,0.0
0.625,0.0,5.076,0.01,0.051
0.636,0.0,5.072,0.011,0.056
0.648,0.0,5.072,0.01,0.051
0.66,0.0,5.072,0.01,0.051
0.672,0.0,5.076,0.0,0.0
0.683,0.0,5.076,0.01,0.051
0.695,0.0,5.076,0.01,0.051
0.706,0.0,5.072,0.0,0.0
0.717,0.0,5.076,0.0,0.0
0.729,0.0,5.072,0.01,0.051
0.741,0.0,5.072,0.0,0.0
0.752,0.0,5.076,0.01,0.051
0.764,0.0,5.072,0.01,0.051
0.775,0.0,5.076,0.01,0.051
0.786,0.0,5.076,0.01,0.051
0.798,0.0,5.076,0.0,0.0
0.81,0.0,5.076,0.0,0.0
0.82,0.0,5.076,0.011,0.056
0.832,0.0,5.072,0.0,0.0
0.844,0.0,5.076,0.01,0.051
0.855,0.0,5.076,0.01,0.051
0.866,0.0,5.076,0.01,0.051
0.878,0.0,5.072,0.01,0.051
0.889,0.0,5.076,0.01,0.051
0.9,0.0,5.076,0.011,0.056
0.913,0.0,5.072,0.01,0.051
0.924,0.0,5.076,0.0,0.0
0.945,0.0,5.076,0.011,0.056
0.959,0.0,5.076,0.0,0.0
0.976,0.0,5.072,0.0,0.0
0.987,0.0,5.072,0.011,0.056
0.998,0.0,5.076,0.01,0.051
1.01,0.0,5.072,0.01,0.051
1.021,0.0,5.076,0.0,0.0
1.032,0.0,5.076,0.0,0.0
1.043,0.0,5.076,0.0,0.0
1.054,0.0,5.072,0.01,0.051
1.065,0.0,5.076,0.0,0.0
1.076,0.0,5.076,0.01,0.051
1.087,0.0,5.072,0.01,0.051
1.098,0.0,5.072,0.0,0.0
1.108,0.0,5.072,0.01,0.051
1.118,0.0,5.076,0.01,0.051
1.129,0.0,5.072,0.01,0.051
1.139,0.0,5.076,0.011,0.056
1.149,0.0,5.072,0.011,0.056
1.16,0.0,5.076,0.0,0.0
1.171,0.0,5.076,0.01,0.051
1.181,0.0,5.072,0.0,0.0
1.192,72.0,5.072,0.0,0.0
1.204,71.0,5.072,0.0,0.0
1.215,70.0,5.076,0.01,0.051
1.226,70.0,5.076,0.01,0.051
1.239,69.0,5.076,0.0,0.0
1.25,68.0,5.076,0.01,0.051
1.261,67.0,5.072,0.0,0.0
1.273,66.0,5.076,0.01,0.051
1.284,65.0,5.076,0.0,0.0
1.295,64.0,5.072,0.017,0.086
1.306,63.0,5.072,0.066,0.335
1.318,62.0,5.076,0.068,0.345
1.329,61.0,5.072,0.092,0.467
1.343,60.0,5.072,0.093,0.472
1.41,58.0,5.068,0.139,0.704
1.42,57.0,5.068,0.138,0.699
1.43,55.0,5.068,0.161,0.816
1.441,54.0,5.072,0.163,0.827
1.452,52.0,5.068,0.163,0.826
1.462,51.0,5.068,0.184,0.933
1.472,49.0,5.068,0.184,0.933
1.484,47.0,5.068,0.183,0.927
1.494,45.0,5.064,0.207,1.048
1.505,43.0,5.064,0.208,1.053
1.517,41.0,5.068,0.208,1.054
1.529,39.0,5.064,0.23,1.165
1.54,37.0,5.068,0.23,1.166
1.552,35.0,5.068,0.228,1.156
